日付,カテゴリ,売上金額,注文件数,客単価
2023-05-23,食品,57995,15,3866
2023-05-23,家電,77518,9,8613
2023-05-23,美容・コスメ,35148,4,8787
2023-05-23,日用品,43338,5,8667
2023-05-24,ファッション,116741,20,5837
2023-05-24,食品,79464,12,6622
2023-05-24,家電,47027,14,3359
2023-05-24,美容・コスメ,44237,6,7372
2023-05-24,日用品,32844,5,6568
2023-05-25,ファッション,153833,44,3496
2023-05-25,食品,88284,16,5517
2023-05-25,家電,73253,18,4069
2023-05-25,美容・コスメ,55778,7,7968
2023-05-25,日用品,50670,7,7238
2023-05-26,ファッション,119796,19,6305
2023-05-26,食品,97707,16,6106
2023-05-26,家電,43093,5,8618
2023-05-26,美容・コスメ,55685,8,6960
2023-05-26,日用品,33176,5,6635
2023-05-27,ファッション,146065,23,6350
2023-05-27,食品,79451,12,6620
2023-05-27,家電,101372,31,3270
2023-05-27,美容・コスメ,83609,16,5225
2023-05-27,日用品,63567,9,7063
2023-05-28,ファッション,162272,24,6761
2023-05-28,食品,127619,25,5104
2023-05-28,家電,69905,11,6355
2023-05-28,美容・コスメ,77005,11,7000
2023-05-28,日用品,61291,11,5571
2023-05-29,ファッション,142884,39,3663
2023-05-29,食品,82135,27,3042
2023-05-29,家電,53685,11,4880
2023-05-29,美容・コスメ,46885,7,6697
2023-05-29,日用品,37325,7,5332
2023-05-30,ファッション,101103,20,5055
2023-05-30,食品,66908,19,3521
2023-05-30,家電,63724,10,6372
2023-05-30,美容・コスメ,53584,10,5358
2023-05-30,日用品,37114,5,7422
2023-05-31,ファッション,121373,22,5516
2023-05-31,食品,57230,12,4769
2023-05-31,家電,55687,11,5062
2023-05-31,美容・コスメ,52405,9,5822
2023-05-31,日用品,42589,6,7098
2023-06-01,ファッション,142534,21,6787
2023-06-01,食品,101865,32,3183
2023-06-01,家電,49048,16,3065
2023-06-01,美容・コスメ,54424,7,7774
2023-06-01,日用品,33843,4,8460
2023-06-02,ファッション,88339,11,8030
2023-06-02,食品,72877,20,3643
2023-06-02,家電,59491,13,4576
2023-06-02,美容・コスメ,43546,9,4838
2023-06-02,日用品,47272,8,5909
2023-06-03,ファッション,138338,22,6288
2023-06-03,食品,117487,26,4518
2023-06-03,家電,73954,20,3697
2023-06-03,美容・コスメ,52564,8,6570
2023-06-03,日用品,42060,7,6008
2023-06-04,ファッション,175566,49,3582
2023-06-04,食品,108200,25,4328
2023-06-04,家電,99664,18,5536
2023-06-04,美容・コスメ,76933,13,5917
2023-06-04,日用品,37754,6,6292
2023-06-05,ファッション,152501,25,6100
2023-06-05,食品,95321,12,7943
2023-06-05,家電,50210,12,4184
2023-06-05,美容・コスメ,53329,10,5332
2023-06-05,日用品,48156,6,8026
2023-06-06,ファッション,109446,26,4209
2023-06-06,食品,93465,21,4450
2023-06-06,家電,71614,13,5508
2023-06-06,美容・コスメ,55026,15,3668
2023-06-06,日用品,42972,8,5371
2023-06-07,ファッション,126235,32,3944
2023-06-07,食品,91369,12,7614
2023-06-07,家電,49802,14,3557
2023-06-07,美容・コスメ,35709,5,7141
2023-06-07,日用品,42570,7,6081
2023-06-08,ファッション,100700,20,5035
2023-06-08,食品,84534,15,5635
2023-06-08,家電,77560,21,3693
2023-06-08,美容・コスメ,55854,11,5077
2023-06-08,日用品,38276,5,7655
2023-06-09,ファッション,133855,16,8365
2023-06-09,食品,62162,17,3656
2023-06-09,家電,68076,11,6188
2023-06-09,美容・コスメ,43224,12,3602
2023-06-09,日用品,30055,4,7513
2023-06-10,ファッション,127158,27,4709
2023-06-10,食品,86943,18,4830
2023-06-10,家電,57849,10,5784
2023-06-10,美容・コスメ,48136,6,8022
2023-06-10,日用品,43691,7,6241
2023-06-11,ファッション,191575,30,6385
2023-06-11,食品,106056,22,4820
2023-06-11,家電,70184,11,6380
2023-06-11,美容・コスメ,84271,13,6482
2023-06-11,日用品,53802,8,6725
2023-06-12,ファッション,117494,35,3356
2023-06-12,食品,82990,10,8299
2023-06-12,家電,48310,7,6901
2023-06-12,美容・コスメ,41028,7,5861
2023-06-12,日用品,30320,5,6064
2023-06-13,ファッション,138443,29,4773
2023-06-13,食品,87915,12,7326
2023-06-13,家電,75378,18,4187
2023-06-13,美容・コスメ,46979,12,3914
2023-06-13,日用品,51819,6,8636
2023-06-14,ファッション,122876,17,7228
2023-06-14,食品,81005,13,6231
2023-06-14,家電,45208,6,7534
2023-06-14,美容・コスメ,38831,5,7766
2023-06-14,日用品,46768,7,6681
2023-06-15,ファッション,86603,19,4558
2023-06-15,食品,68629,14,4902
2023-06-15,家電,45155,5,9031
2023-06-15,美容・コスメ,51614,11,4692
2023-06-15,日用品,37527,7,5361
2023-06-16,ファッション,127242,22,5783
2023-06-16,食品,100130,18,5562
2023-06-16,家電,77717,10,7771
2023-06-16,美容・コスメ,41255,5,8251
2023-06-16,日用品,30792,4,7698
2023-06-17,ファッション,144826,19,7622
2023-06-17,食品,126966,18,7053
2023-06-17,家電,91573,20,4578
2023-06-17,美容・コスメ,48655,9,5406
2023-06-17,日用品,41813,6,6968
2023-06-18,ファッション,141594,17,8329
2023-06-18,食品,112796,15,7519
2023-06-18,家電,60802,8,7600
2023-06-18,美容・コスメ,81487,14,5820
2023-06-18,日用品,55315,8,6914
2023-06-19,ファッション,96588,17,5681
2023-06-19,食品,75135,20,3756
2023-06-19,家電,55231,16,3451
2023-06-19,美容・コスメ,35774,9,3974
2023-06-19,日用品,51114,8,6389
2023-06-20,ファッション,153539,29,5294
2023-06-20,食品,70967,12,5913
2023-06-20,家電,57822,16,3613
2023-06-20,美容・コスメ,54224,13,4171
2023-06-20,日用品,42870,6,7145
2023-06-21,ファッション,94945,28,3390
2023-06-21,食品,93476,17,5498
2023-06-21,家電,44093,5,8818
2023-06-21,美容・コスメ,36733,5,7346
2023-06-21,日用品,51608,12,4300
2023-06-22,ファッション,94241,26,3624
2023-06-22,食品,70557,20,3527
2023-06-22,家電,66917,20,3345
2023-06-22,美容・コスメ,50282,6,8380
2023-06-22,日用品,47535,7,6790
2023-06-23,ファッション,106050,17,6238
2023-06-23,食品,81297,15,5419
2023-06-23,家電,46705,6,7784
2023-06-23,美容・コスメ,48493,12,4041
2023-06-23,日用品,36826,7,5260
2023-06-24,ファッション,186657,27,6913
2023-06-24,食品,120804,39,3097
2023-06-24,家電,74076,13,5698
2023-06-24,美容・コスメ,46248,10,4624
2023-06-24,日用品,60121,16,3757
2023-06-25,ファッション,159305,39,4084
2023-06-25,食品,73556,17,4326
2023-06-25,家電,100270,14,7162
2023-06-25,美容・コスメ,82923,15,5528
2023-06-25,日用品,39823,6,6637
2023-06-26,ファッション,116715,16,7294
2023-06-26,食品,60707,11,5518
2023-06-26,家電,47401,10,4740
2023-06-26,美容・コスメ,57120,10,5712
2023-06-26,日用品,37021,7,5288
2023-06-27,ファッション,117080,16,7317
2023-06-27,食品,98820,12,8235
2023-06-27,家電,70328,15,4688
2023-06-27,美容・コスメ,55644,10,5564
2023-06-27,日用品,34112,4,8528
2023-06-28,ファッション,86766,11,7887
2023-06-28,食品,78150,12,6512
2023-06-28,家電,65736,8,8217
2023-06-28,美容・コスメ,54100,8,6762
2023-06-28,日用品,29599,5,5919
2023-06-29,ファッション,94812,14,6772
2023-06-29,食品,80586,12,6715
2023-06-29,家電,43500,12,3625
2023-06-29,美容・コスメ,56489,16,3530
2023-06-29,日用品,29710,9,3301
2023-06-30,ファッション,152868,22,6948
2023-06-30,食品,72956,16,4559
2023-06-30,家電,54589,7,7798
2023-06-30,美容・コスメ,54841,13,4218
2023-06-30,日用品,32178,9,3575
2023-07-01,ファッション,239406,35,6840
2023-07-01,食品,125074,40,3126
2023-07-01,家電,81823,10,8182
2023-07-01,美容・コスメ,79831,11,7257
2023-07-01,日用品,78245,15,5216
2023-07-02,ファッション,179833,49,3670
2023-07-02,食品,155647,22,7074
2023-07-02,家電,118628,20,5931
2023-07-02,美容・コスメ,65990,8,8248
2023-07-02,日用品,85847,19,4518
2023-07-03,ファッション,216381,36,6010
2023-07-03,食品,117538,17,6914
2023-07-03,家電,99713,15,6647
2023-07-03,美容・コスメ,54380,11,4943
2023-07-03,日用品,70383,17,4140
2023-07-04,ファッション,155114,30,5170
2023-07-04,食品,107928,17,6348
2023-07-04,家電,106331,25,4253
2023-07-04,美容・コスメ,54103,13,4161
2023-07-04,日用品,69000,11,6272
2023-07-05,ファッション,146419,20,7320
2023-07-05,食品,136284,18,7571
2023-07-05,家電,105113,24,4379
2023-07-05,美容・コスメ,80711,15,5380
2023-07-05,日用品,67491,10,6749
2023-07-06,ファッション,195865,31,6318
2023-07-06,食品,90323,15,6021
2023-07-06,家電,108427,14,7744
2023-07-06,美容・コスメ,50813,13,3908
2023-07-06,日用品,43626,6,7271
2023-07-07,ファッション,200032,49,4082
2023-07-07,食品,112393,15,7492
2023-07-07,家電,95733,16,5983
2023-07-07,美容・コスメ,73794,13,5676
2023-07-07,日用品,49197,8,6149
2023-07-08,ファッション,243151,33,7368
2023-07-08,食品,157506,23,6848
2023-07-08,家電,86927,16,5432
2023-07-08,美容・コスメ,64209,15,4280
2023-07-08,日用品,82691,10,8269
2023-07-09,ファッション,165876,33,5026
2023-07-09,食品,171814,42,4090
2023-07-09,家電,112809,16,7050
2023-07-09,美容・コスメ,97332,24,4055
2023-07-09,日用品,66483,9,7387
2023-07-10,ファッション,173466,57,3043
2023-07-10,食品,129538,40,3238
2023-07-10,家電,96384,24,4016
2023-07-10,美容・コスメ,89239,18,4957
2023-07-10,日用品,50184,13,3860
2023-07-11,ファッション,148404,20,7420
2023-07-11,食品,145353,30,4845
2023-07-11,家電,81409,12,6784
2023-07-11,美容・コスメ,86220,14,6158
2023-07-11,日用品,52355,10,5235
2023-07-12,ファッション,187718,62,3027
2023-07-12,食品,120036,25,4801
2023-07-12,家電,98827,28,3529
2023-07-12,美容・コスメ,73704,13,5669
2023-07-12,日用品,60782,18,3376
2023-07-13,ファッション,176062,30,5868
2023-07-13,食品,116076,19,6109
2023-07-13,家電,92893,13,7145
2023-07-13,美容・コスメ,60332,8,7541
2023-07-13,日用品,55941,16,3496
2023-07-14,ファッション,123501,26,4750
2023-07-14,食品,131145,20,6557
2023-07-14,家電,98546,17,5796
2023-07-14,美容・コスメ,67488,18,3749
2023-07-14,日用品,50227,9,5580
2023-07-15,ファッション,164490,40,4112
2023-07-15,食品,154180,23,6703
2023-07-15,家電,141851,18,7880
2023-07-15,美容・コスメ,98784,19,5199
2023-07-15,日用品,78748,11,7158
2023-07-16,ファッション,168386,33,5102
2023-07-16,食品,175285,35,5008
2023-07-16,家電,113909,19,5995
2023-07-16,美容・コスメ,73772,15,4918
2023-07-16,日用品,65571,20,3278
2023-07-17,ファッション,120038,16,7502
2023-07-17,食品,96750,17,5691
2023-07-17,家電,73855,9,8206
2023-07-17,美容・コスメ,59890,11,5444
2023-07-17,日用品,68523,9,7613
2023-07-18,ファッション,136359,19,7176
2023-07-18,食品,109190,20,5459
2023-07-18,家電,65527,19,3448
2023-07-18,美容・コスメ,79573,14,5683
2023-07-18,日用品,53878,8,6734
2023-07-19,ファッション,194763,51,3818
2023-07-19,食品,119407,32,3731
2023-07-19,家電,96669,15,6444
2023-07-19,美容・コスメ,89177,26,3429
2023-07-19,日用品,41117,9,4568
2023-07-20,ファッション,143979,33,4363
2023-07-20,食品,139300,32,4353
2023-07-20,家電,72506,10,7250
2023-07-20,美容・コスメ,67889,9,7543
2023-07-20,日用品,41396,7,5913
2023-07-21,ファッション,120988,36,3360
2023-07-21,食品,139312,37,3765
2023-07-21,家電,85634,16,5352
2023-07-21,美容・コスメ,63588,8,7948
2023-07-21,日用品,39933,6,6655
2023-07-22,ファッション,279123,48,5815
2023-07-22,食品,183760,56,3281
2023-07-22,家電,103879,24,4328
2023-07-22,美容・コスメ,103602,13,7969
2023-07-22,日用品,62165,9,6907
2023-07-23,ファッション,178838,30,5961
2023-07-23,食品,142449,18,7913
2023-07-23,家電,116310,24,4846
2023-07-23,美容・コスメ,69929,18,3884
2023-07-23,日用品,60801,14,4342
2023-07-24,ファッション,203342,35,5809
2023-07-24,食品,113571,31,3663
2023-07-24,家電,102151,15,6810
2023-07-24,美容・コスメ,51842,7,7406
2023-07-24,日用品,57462,16,3591
2023-07-25,ファッション,163796,30,5459
2023-07-25,食品,89540,11,8140
2023-07-25,家電,101638,16,6352
2023-07-25,美容・コスメ,68416,13,5262
2023-07-25,日用品,61072,10,6107
2023-07-26,ファッション,123877,22,5630
2023-07-26,食品,132590,25,5303
2023-07-26,家電,61418,8,7677
2023-07-26,美容・コスメ,57457,13,4419
2023-07-26,日用品,44734,9,4970
2023-07-27,ファッション,193880,34,5702
2023-07-27,食品,92168,12,7680
2023-07-27,家電,103130,14,7366
2023-07-27,美容・コスメ,59029,11,5366
2023-07-27,日用品,72295,10,7229
2023-07-28,ファッション,120338,36,3342
2023-07-28,食品,109576,14,7826
2023-07-28,家電,85950,15,5730
2023-07-28,美容・コスメ,53429,8,6678
2023-07-28,日用品,66822,13,5140
2023-07-29,ファッション,254516,32,7953
2023-07-29,食品,119721,21,5701
2023-07-29,家電,95253,13,7327
2023-07-29,美容・コスメ,95236,15,6349
2023-07-29,日用品,85812,17,5047
2023-07-30,ファッション,272793,48,5683
2023-07-30,食品,115718,17,6806
2023-07-30,家電,128414,28,4586
2023-07-30,美容・コスメ,110501,14,7892
2023-07-30,日用品,63055,7,9007
2023-07-31,ファッション,131783,32,4118
2023-07-31,食品,90779,12,7564
2023-07-31,家電,91776,24,3824
2023-07-31,美容・コスメ,67493,11,6135
2023-07-31,日用品,42004,5,8400
2023-08-01,ファッション,113487,20,5674
2023-08-01,食品,81937,16,5121
2023-08-01,家電,61942,9,6882
2023-08-01,美容・コスメ,43232,11,3930
2023-08-01,日用品,39333,7,5619
2023-08-02,ファッション,76544,24,3189
2023-08-02,食品,66294,11,6026
2023-08-02,家電,54317,7,7759
2023-08-02,美容・コスメ,29905,4,7476
2023-08-02,日用品,25998,3,8666
2023-08-03,ファッション,114378,20,5718
2023-08-03,食品,72073,15,4804
2023-08-03,家電,47169,6,7861
2023-08-03,美容・コスメ,39022,8,4877
2023-08-03,日用品,31888,4,7972
2023-08-04,ファッション,86507,22,3932
2023-08-04,食品,72141,10,7214
2023-08-04,家電,36498,8,4562
2023-08-04,美容・コスメ,31407,6,5234
2023-08-04,日用品,31046,4,7761
2023-08-05,ファッション,136117,22,6187
2023-08-05,食品,75830,10,7583
2023-08-05,家電,61324,7,8760
2023-08-05,美容・コスメ,56185,15,3745
2023-08-05,日用品,45997,9,5110
2023-08-06,ファッション,138752,41,3384
2023-08-06,食品,66970,9,7441
2023-08-06,家電,52185,7,7455
2023-08-06,美容・コスメ,45113,7,6444
2023-08-06,日用品,46445,8,5805
2023-08-07,ファッション,84785,20,4239
2023-08-07,食品,46074,10,4607
2023-08-07,家電,52411,6,8735
2023-08-07,美容・コスメ,48908,7,6986
2023-08-07,日用品,37538,5,7507
2023-08-08,ファッション,82192,10,8219
2023-08-08,食品,70556,12,5879
2023-08-08,家電,36796,7,5256
2023-08-08,美容・コスメ,39048,5,7809
2023-08-08,日用品,32895,6,5482
2023-08-09,ファッション,123463,34,3631
2023-08-09,食品,61025,19,3211
2023-08-09,家電,54909,7,7844
2023-08-09,美容・コスメ,34720,4,8680
2023-08-09,日用品,28010,3,9336
2023-08-10,ファッション,110628,15,7375
2023-08-10,食品,45491,5,9098
2023-08-10,家電,54528,12,4544
2023-08-10,美容・コスメ,47905,10,4790
2023-08-10,日用品,39156,10,3915
2023-08-11,ファッション,107732,18,5985
2023-08-11,食品,48506,11,4409
2023-08-11,家電,33957,6,5659
2023-08-11,美容・コスメ,35230,5,7046
2023-08-11,日用品,28106,6,4684
2023-08-12,ファッション,143010,44,3250
2023-08-12,食品,103312,14,7379
2023-08-12,家電,68682,11,6243
2023-08-12,美容・コスメ,64239,16,4014
2023-08-12,日用品,31091,7,4441
2023-08-13,ファッション,146858,46,3192
2023-08-13,食品,87333,10,8733
2023-08-13,家電,75717,13,5824
2023-08-13,美容・コスメ,38385,5,7677
2023-08-13,日用品,44070,12,3672
2023-08-14,ファッション,72606,9,8067
2023-08-14,食品,70497,9,7833
2023-08-14,家電,58914,10,5891
2023-08-14,美容・コスメ,40418,7,5774
2023-08-14,日用品,28485,5,5697
2023-08-15,ファッション,111775,18,6209
2023-08-15,食品,79072,15,5271
2023-08-15,家電,51084,8,6385
2023-08-15,美容・コスメ,42200,6,7033
2023-08-15,日用品,26958,4,6739
2023-08-16,ファッション,73203,14,5228
2023-08-16,食品,63526,10,6352
2023-08-16,家電,60975,10,6097
2023-08-16,美容・コスメ,45846,8,5730
2023-08-16,日用品,34574,10,3457
2023-08-17,ファッション,81852,17,4814
2023-08-17,食品,62943,19,3312
2023-08-17,家電,37632,8,4704
2023-08-17,美容・コスメ,51316,11,4665
2023-08-17,日用品,31655,7,4522
2023-08-18,ファッション,102380,23,4451
2023-08-18,食品,52748,9,5860
2023-08-18,家電,33758,11,3068
2023-08-18,美容・コスメ,33257,10,3325
2023-08-18,日用品,24474,5,4894
2023-08-19,ファッション,147457,25,5898
2023-08-19,食品,83832,18,4657
2023-08-19,家電,78564,15,5237
2023-08-19,美容・コスメ,39117,6,6519
2023-08-19,日用品,31961,6,5326
2023-08-20,ファッション,125355,17,7373
2023-08-20,食品,82877,12,6906
2023-08-20,家電,80851,22,3675
2023-08-20,美容・コスメ,44971,9,4996
2023-08-20,日用品,39648,7,5664
2023-08-21,ファッション,119478,18,6637
2023-08-21,食品,68143,14,4867
2023-08-21,家電,57325,7,8189
2023-08-21,美容・コスメ,47708,15,3180
2023-08-21,日用品,34618,10,3461
2023-08-22,ファッション,82038,24,3418
2023-08-22,食品,67985,10,6798
2023-08-22,家電,36897,7,5271
2023-08-22,美容・コスメ,38949,8,4868
2023-08-22,日用品,24723,4,6180
2023-08-23,ファッション,110467,32,3452
2023-08-23,食品,47878,10,4787
2023-08-23,家電,60721,9,6746
2023-08-23,美容・コスメ,44288,9,4920
2023-08-23,日用品,33798,11,3072
2023-08-24,ファッション,103839,13,7987
2023-08-24,食品,68322,9,7591
2023-08-24,家電,54450,15,3630
2023-08-24,美容・コスメ,49658,14,3547
2023-08-24,日用品,32652,8,4081
2023-08-25,ファッション,67874,13,5221
2023-08-25,食品,56129,10,5612
2023-08-25,家電,50223,15,3348
2023-08-25,美容・コスメ,30952,5,6190
2023-08-25,日用品,28988,4,7247
2023-08-26,ファッション,136203,18,7566
2023-08-26,食品,92809,18,5156
2023-08-26,家電,68875,15,4591
2023-08-26,美容・コスメ,45956,6,7659
2023-08-26,日用品,40262,5,8052
2023-08-27,ファッション,148942,20,7447
2023-08-27,食品,103998,20,5199
2023-08-27,家電,55618,9,6179
2023-08-27,美容・コスメ,47980,7,6854
2023-08-27,日用品,46731,7,6675
2023-08-28,ファッション,88774,23,3859
2023-08-28,食品,61332,16,3833
2023-08-28,家電,59234,12,4936
2023-08-28,美容・コスメ,31707,10,3170
2023-08-28,日用品,34799,5,6959
2023-08-29,ファッション,86818,25,3472
2023-08-29,食品,60529,13,4656
2023-08-29,家電,53101,8,6637
2023-08-29,美容・コスメ,36750,8,4593
2023-08-29,日用品,41370,7,5910
2023-08-30,ファッション,106844,28,3815
2023-08-30,食品,63446,20,3172
2023-08-30,家電,48157,6,8026
2023-08-30,美容・コスメ,37220,11,3383
2023-08-30,日用品,22994,4,5748
2023-08-31,ファッション,76417,24,3184
2023-08-31,食品,73838,13,5679
2023-08-31,家電,41930,5,8386
2023-08-31,美容・コスメ,30787,3,10262
2023-08-31,日用品,28428,3,9476
2023-09-01,ファッション,127411,17,7494
2023-09-01,食品,103232,23,4488
2023-09-01,家電,76600,15,5106
2023-09-01,美容・コスメ,46565,9,5173
2023-09-01,日用品,40993,10,4099
2023-09-02,ファッション,161027,28,5750
2023-09-02,食品,120342,16,7521
2023-09-02,家電,75212,16,4700
2023-09-02,美容・コスメ,55614,13,4278
2023-09-02,日用品,38198,8,4774
2023-09-03,ファッション,134495,17,7911
2023-09-03,食品,107601,22,4890
2023-09-03,家電,81765,22,3716
2023-09-03,美容・コスメ,62817,10,6281
2023-09-03,日用品,51653,10,5165
2023-09-04,ファッション,155557,21,7407
2023-09-04,食品,85923,14,6137
2023-09-04,家電,64343,16,4021
2023-09-04,美容・コスメ,46854,14,3346
2023-09-04,日用品,39413,6,6568
2023-09-05,ファッション,100397,12,8366
2023-09-05,食品,99653,15,6643
2023-09-05,家電,61201,8,7650
2023-09-05,美容・コスメ,38919,5,7783
2023-09-05,日用品,30995,4,7748
2023-09-06,ファッション,103855,14,7418
2023-09-06,食品,101314,27,3752
2023-09-06,家電,58656,7,8379
2023-09-06,美容・コスメ,49502,6,8250
2023-09-06,日用品,42129,8,5266
2023-09-07,ファッション,104576,26,4022
2023-09-07,食品,92566,18,5142
2023-09-07,家電,60405,11,5491
2023-09-07,美容・コスメ,52318,7,7474
2023-09-07,日用品,51537,10,5153
2023-09-08,ファッション,143581,21,6837
2023-09-08,食品,83529,10,8352
2023-09-08,家電,49217,13,3785
2023-09-08,美容・コスメ,60618,11,5510
2023-09-08,日用品,48327,6,8054
2023-09-09,ファッション,115046,15,7669
2023-09-09,食品,100775,18,5598
2023-09-09,家電,83924,10,8392
2023-09-09,美容・コスメ,46245,8,5780
2023-09-09,日用品,57856,8,7232
2023-09-10,ファッション,174021,47,3702
2023-09-10,食品,91482,19,4814
2023-09-10,家電,92247,20,4612
2023-09-10,美容・コスメ,53717,6,8952
2023-09-10,日用品,36676,4,9169
2023-09-11,ファッション,132731,18,7373
2023-09-11,食品,70141,22,3188
2023-09-11,家電,68563,9,7618
2023-09-11,美容・コスメ,57214,15,3814
2023-09-11,日用品,46082,6,7680
2023-09-12,ファッション,131414,19,6916
2023-09-12,食品,96604,15,6440
2023-09-12,家電,45189,8,5648
2023-09-12,美容・コスメ,37329,7,5332
2023-09-12,日用品,37770,11,3433
2023-09-13,ファッション,109115,30,3637
2023-09-13,食品,94795,12,7899
2023-09-13,家電,44603,5,8920
2023-09-13,美容・コスメ,50677,11,4607
2023-09-13,日用品,29844,5,5968
2023-09-14,ファッション,141205,21,6724
2023-09-14,食品,58410,17,3435
2023-09-14,家電,56503,12,4708
2023-09-14,美容・コスメ,41971,9,4663
2023-09-14,日用品,47283,6,7880
2023-09-15,ファッション,113167,15,7544
2023-09-15,食品,71431,13,5494
2023-09-15,家電,50137,8,6267
2023-09-15,美容・コスメ,64369,10,6436
2023-09-15,日用品,36587,5,7317
2023-09-16,ファッション,120705,16,7544
2023-09-16,食品,104192,19,5483
2023-09-16,家電,82018,13,6309
2023-09-16,美容・コスメ,48299,7,6899
2023-09-16,日用品,43948,6,7324
2023-09-17,ファッション,186189,26,7161
2023-09-17,食品,107276,19,5646
2023-09-17,家電,61286,8,7660
2023-09-17,美容・コスメ,56084,10,5608
2023-09-17,日用品,45269,12,3772
2023-09-18,ファッション,129328,39,3316
2023-09-18,食品,91934,20,4596
2023-09-18,家電,42004,7,6000
2023-09-18,美容・コスメ,36405,8,4550
2023-09-18,日用品,44967,13,3459
2023-09-19,ファッション,144432,47,3073
2023-09-19,食品,67847,10,6784
2023-09-19,家電,53385,15,3559
2023-09-19,美容・コスメ,45807,10,4580
2023-09-19,日用品,48225,10,4822
2023-09-20,ファッション,140803,18,7822
2023-09-20,食品,76823,10,7682
2023-09-20,家電,55583,7,7940
2023-09-20,美容・コスメ,37678,5,7535
2023-09-20,日用品,39851,8,4981
2023-09-21,ファッション,129555,19,6818
2023-09-21,食品,56209,14,4014
2023-09-21,家電,67669,10,6766
2023-09-21,美容・コスメ,63981,9,7109
2023-09-21,日用品,50818,7,7259
2023-09-22,ファッション,105459,29,3636
2023-09-22,食品,93527,15,6235
2023-09-22,家電,43734,9,4859
2023-09-22,美容・コスメ,63703,11,5791
2023-09-22,日用品,38385,7,5483
2023-09-23,ファッション,128751,26,4951
2023-09-23,食品,95876,29,3306
2023-09-23,家電,90522,17,5324
2023-09-23,美容・コスメ,77565,10,7756
2023-09-23,日用品,43014,6,7169
2023-09-24,ファッション,153405,20,7670
2023-09-24,食品,86262,13,6635
2023-09-24,家電,83042,18,4613
2023-09-24,美容・コスメ,50827,8,6353
2023-09-24,日用品,59444,12,4953
2023-09-25,ファッション,130427,26,5016
2023-09-25,食品,90233,22,4101
2023-09-25,家電,74047,16,4627
2023-09-25,美容・コスメ,46033,13,3541
2023-09-25,日用品,30676,5,6135
2023-09-26,ファッション,103266,14,7376
2023-09-26,食品,56705,11,5155
2023-09-26,家電,54144,17,3184
2023-09-26,美容・コスメ,38731,7,5533
2023-09-26,日用品,39828,7,5689
2023-09-27,ファッション,122227,20,6111
2023-09-27,食品,56476,10,5647
2023-09-27,家電,76685,13,5898
2023-09-27,美容・コスメ,55326,12,4610
2023-09-27,日用品,46575,6,7762
2023-09-28,ファッション,121533,15,8102
2023-09-28,食品,62026,20,3101
2023-09-28,家電,69725,9,7747
2023-09-28,美容・コスメ,38606,8,4825
2023-09-28,日用品,28421,6,4736
2023-09-29,ファッション,139666,24,5819
2023-09-29,食品,72708,14,5193
2023-09-29,家電,42048,9,4672
2023-09-29,美容・コスメ,54393,6,9065
2023-09-29,日用品,48329,15,3221
2023-09-30,ファッション,193305,27,7159
2023-09-30,食品,121495,22,5522
2023-09-30,家電,73226,16,4576
2023-09-30,美容・コスメ,48062,11,4369
2023-09-30,日用品,44094,8,5511
2023-10-01,ファッション,179160,33,5429
2023-10-01,食品,76409,9,8489
2023-10-01,家電,98719,14,7051
2023-10-01,美容・コスメ,84161,14,6011
2023-10-01,日用品,66438,19,3496
2023-10-02,ファッション,110329,26,4243
2023-10-02,食品,65399,17,3847
2023-10-02,家電,64406,9,7156
2023-10-02,美容・コスメ,52348,14,3739
2023-10-02,日用品,47466,7,6780
2023-10-03,ファッション,111947,17,6585
2023-10-03,食品,68475,14,4891
2023-10-03,家電,75029,16,4689
2023-10-03,美容・コスメ,49099,6,8183
2023-10-03,日用品,44985,13,3460
2023-10-04,ファッション,94605,31,3051
2023-10-04,食品,86284,16,5392
2023-10-04,家電,46833,6,7805
2023-10-04,美容・コスメ,50889,12,4240
2023-10-04,日用品,40014,6,6669
2023-10-05,ファッション,89489,20,4474
2023-10-05,食品,94734,17,5572
2023-10-05,家電,61676,11,5606
2023-10-05,美容・コスメ,36316,9,4035
2023-10-05,日用品,38692,9,4299
2023-10-06,ファッション,87598,12,7299
2023-10-06,食品,103097,14,7364
2023-10-06,家電,72736,17,4278
2023-10-06,美容・コスメ,63818,16,3988
2023-10-06,日用品,50834,6,8472
2023-10-07,ファッション,175817,22,7991
2023-10-07,食品,108339,25,4333
2023-10-07,家電,75051,12,6254
2023-10-07,美容・コスメ,48350,7,6907
2023-10-07,日用品,67012,16,4188
2023-10-08,ファッション,183386,24,7641
2023-10-08,食品,131686,16,8230
2023-10-08,家電,79004,10,7900
2023-10-08,美容・コスメ,75035,19,3949
2023-10-08,日用品,51279,7,7325
2023-10-09,ファッション,101808,16,6363
2023-10-09,食品,87996,23,3825
2023-10-09,家電,62343,9,6927
2023-10-09,美容・コスメ,49966,16,3122
2023-10-09,日用品,28216,5,5643
2023-10-10,ファッション,150685,36,4185
2023-10-10,食品,86449,21,4116
2023-10-10,家電,53580,7,7654
2023-10-10,美容・コスメ,56865,16,3554
2023-10-10,日用品,38288,12,3190
2023-10-11,ファッション,118624,18,6590
2023-10-11,食品,61688,13,4745
2023-10-11,家電,56322,7,8046
2023-10-11,美容・コスメ,64797,20,3239
2023-10-11,日用品,46264,9,5140
2023-10-12,ファッション,112256,16,7016
2023-10-12,食品,100084,12,8340
2023-10-12,家電,62776,13,4828
2023-10-12,美容・コスメ,58626,13,4509
